gene,weight
KCNQ1,-0.14723570770524566
TRAPPC3,0.08953149336372968
THRAP3,-0.14605313216844573
PHPT1,-0.3133856623549296
ENTPD2,0.006223875721650531
LY75,-0.04971794004870411
ARID4B,-0.2039262023686239
OPN3,-0.03242965351167387
SDCCAG8,-0.13408433486241633
PTPRN,0.00010352462218768112
HHAT,-0.01271288849331836
KIF1B,0.23990610742177265
FOXC1,0.00843162085378769
TBC1D22A,-0.0831418047300625
SYNE2,-1.6990286081513812
PLEKHH1,0.0033448304356989236
ATP9A,0.05121595691208241
SPO11,-1.3715299858672446e-06
CBLN4,1.9578058910435793e-05
CHRDL2,-1.8402698721061608e-05
FAM168A,-0.4047578818108619
RELT,0.10506361184395985
GALC,-0.13457726922912436
NOP58,1.0643149244957706
SZRD1,0.38214477567814353
KCNH2,-0.02846807258272393
CUL1,0.21905710594820038
FAM114A2,0.07615448480068576
CYFIP2,-1.2430993354504696
TAB2,-0.5275042914430559
GINM1,-0.08784999057400011
EIF2AK2,-0.28121026887238254
USP36,0.3934988369067245
KMT2C,-0.33297278251724016
MCOLN3,-0.9976798698235949
CCDC85A,-3.7839260445440444e-05
PUM2,0.07763358946989651
ITIH4,-0.021984931900677407
ITIH1,2.5427839541400902e-05
HPF1,-0.016302583053647235
ZFR,0.5000682256386424
ZNF280C,0.1478675040277635
NPFFR2,-3.7750099938800727e-06
PHF21B,0.00037105182346489383
TRAF1,0.9798344715873033
RC3H2,0.04965817488877877
IL17RB,0.008555529268801355
TRAF3IP2,-0.08595599790662317
GYG2,7.078110771980287e-06
DCBLD2,0.0479501201027282
SERPINB3,-1.5359005556767382e-06
SOAT1,0.06517923747344767
PKP2,0.0006897007803876649
MSH4,-0.002001826481138828
F7,6.280460037050704e-05
GDI2,0.037865444200722354
PRDM1,0.672669033311355
ATG5,0.10145417424797143
TMCC3,-0.0013459519686325452
PITHD1,0.40947781570335073
MTA3,-0.09697856012374212
USP13,0.11484761431193902
ATP11B,-0.36582602926537655
LAMC2,-0.0007838280531101789
CDK14,0.015302115685009736
SEC61A1,0.2997911132706177
PPP1R12A,-0.30696088164171265
RASGRF1,-0.00027198977382334767
CAMK2B,0.002266403153170184
CROCC,-0.030427537918714588
POLR3E,0.46548551483331907
ATP2B4,-1.0342481365571992
RIOK2,0.36280863861904233
YIPF1,-0.1443026230252481
NDC1,0.5757000222276457
DGKG,0.020719890712447897
TBXAS1,-0.08965378335339699
PARP12,-0.6489089666665526
ALDH18A1,0.686654471773973
TARBP1,0.39402720216467924
GATB,0.07136251372563557
MXD1,-0.45334346411546417
CDK17,0.10542224371076658
DNAJC25,0.26278192574997516
SLC2A3,-0.279713215857899
PSD,0.02714071441843336
CTDP1,-0.01825731515394291
YBX3,1.3240737171572188
STYK1,-0.0027890904281274486
WNK1,0.1514064593210993
CCAR1,0.11458278973671454
OGFR,0.043517029464524404
GNA15,0.1679056629558684
CREB3L3,-0.003470979125973087
PIGV,0.08802540841745377
PTPRU,0.006143634896856717
SNRNP40,0.34603769094639625
RIMBP2,-5.2306326906928614e-05
COL11A1,-1.1040581228001104e-05
QSER1,0.1506226906046484
MPC1,-0.32059859389603274
ACAA1,-0.3989267688696029
BCAT1,0.20755209016074957
HDAC7,1.142892511567778
LZTS1,-0.1372526717996394
PRDM6,-7.948687140008045e-05
WNT8A,-0.0002980308756104161
SPAG4,0.005400283371453764
NCKAP1,0.23541309468198351
GUCY1B1,0.012551526524694155
SFSWAP,0.07216651382152273
TNK2,-0.12218974436348817
MON2,-0.18824743096621643
CDH3,0.002769744717962153
ARSF,-1.647618273170684e-05
GPBP1,-0.1642122717418928
DGAT2,0.06929426278529616
ZNF112,7.77427048193913e-06
CS,0.006331382513044104
LTK,-0.020764962024033273
ELMO2,0.005345152204553338
WAPL,0.0833259776273727
VMP1,-0.08887264767136194
APPBP2,-0.0989635826693438
POLD1,0.04549360075449038
SEZ6,-9.86884290135032e-06
EIF4B,0.30664556496539386
SLC6A16,-0.031134218694299443
BICRA,-0.23318343938196973
SPHK2,0.031314851338564875
CA11,0.026853766907133703
ISOC2,0.4654885071191155
U2AF2,0.3400355895682844
EPN1,-0.12553572374541494
MED29,-0.0464054417732519
AHRR,0.003035745636460474
GSC2,3.615262232476295e-05
ZNF275,0.0894996094998105
MTMR1,-0.3398095733652482
GPC1,0.0904106867123969
HAGH,-0.1950772443220924
RNF4,0.07590278426733077
CASP8,-0.9588280465318313
LIMCH1,1.8494057003011225e-05
INTS13,0.01800342759517637
TM7SF3,-0.32251217750187033
DLX3,0.0009470428888350699
SPA17,-0.03860309714671411
TSPAN32,-0.3536030493641541
CCN5,-8.551426493672778e-07
DMRT3,2.2522952425806434e-05
ST3GAL6,-0.0006466383970381075
ATP2C2,-3.633221405904995e-05
NGFR,-0.0074699737087702955
CDON,0.0013199064503431075
TAF2,0.05461978449299032
HIPK2,0.28368627208982744
TNPO3,0.07502590460454939
RFXANK,-0.1560266501728531
TMEM161A,0.2722729030915348
LPAR2,-0.17987919575965117
CTSA,-0.4809098341235084
SUGP2,-0.17360335495754597
SLC12A2,0.14257063038371814
SNX24,-0.11913726424595796
EYA2,-0.006971214303737858
CNN2,-2.2810452045004976
ABCA7,-0.608395413174458
SNCAIP,9.235759495944487e-06
DDX20,0.23662507872973237
BTBD1,0.1509461444659601
FAR2,-0.08970467518033469
POU1F1,2.126678569020858e-06
CHI3L2,-0.2099834868940982
SBNO2,0.20655515183763773
PMS1,0.3400650181213991
HMG20B,-0.1026403042006665
CALCRL,-0.0038443765083760618
TAF11,0.05658198333505848
ANKS1A,0.0448535467812024
AP3D1,0.3009371735835318
ZNF76,0.020598044275494498
NHERF2,-0.009954253223775763
NTHL1,0.2874827432024811
BLTP3A,0.18714616088695893
GNAI3,-0.32495172624854063
IPO5,0.03346252027031094
OAT,0.025889575588754737
WDR3,0.9885119968099086
PKN2,-0.08091429676006517
WDR18,0.6872725121593583
TRAM2,-0.2735438864778107
NTN1,0.009925665852114244
