gene,my_score,author_coef,coef_sem,coef_rank,known_regulators,known,highlight
MEIS3,0.00902799,-0.0122349782056043,0.0008206443599466,0.8084564442180336,False,other,
MEMO1,-0.7137467,-0.0325370812303715,0.0010427361022438,0.9865002547121752,False,other,
MEN1,-0.28659308,-0.0088310024445004,0.000832476876417,0.7292409577177789,False,other,
MEOX1,-0.009432122,0.0104192574547562,0.0006965698395485,0.1711665817626082,False,other,
MESP1,0.02947424,-0.0131590723888564,0.0008517427845101,0.8295975547631177,False,other,
MEST,-0.4621226,0.0207229372318606,0.0009838532073161,0.0354049923586347,False,other,
METAP1,-0.1266945,-0.0247016339436218,0.0009768647312228,0.957208354559348,False,other,
METAP2,0.20969924,-0.0053880076703825,0.0008208595823208,0.6291390728476821,False,other,
METRN,-0.10406189,-0.0090107737390295,0.0006301369418691,0.7350993377483444,False,other,
METTL1,0.1313028,0.0167518710384638,0.0005825773323717,0.0720835455934793,False,other,
METTL14,0.14005156,-0.0119996872267361,0.0008391566618324,0.8031074885379521,False,other,
METTL17,0.17699642,-0.0080207581860159,0.00099382097589,0.7068262862964849,False,other,
METTL23,-0.030746773,-0.0215775838112401,0.0010632449582974,0.936067244014264,False,other,
METTL2B,-0.18567434,-0.0187318737714273,0.0008071890505252,0.9067753438614364,False,other,
METTL3,0.26603726,0.0045451131987124,0.0008406294422781,0.3138053998981151,False,other,
METTL8,0.24637684,0.0062585727898378,0.0009807141082039,0.2666836474783494,False,other,
MEX3D,-0.0051053446,0.0161533138422456,0.0005808367866342,0.0797249108507386,False,other,
MFHAS1,-0.38014933,-0.0015435655136075,0.0008632236397185,0.5104431991849211,False,other,
MFN2,0.017589211,0.0332937616110116,0.0006091605172754,0.0022924095771777,False,other,
MFSD11,0.16258095,-0.0026806371361105,0.0008137297828836,0.5478858889454916,False,other,
MFSD4B,0.17244288,-0.0056274636737594,0.0006789654120293,0.6355068772287316,False,other,
MFSD6,-0.32278413,0.0160366629594337,0.0007952439785213,0.0817626082526744,False,other,
MGA,0.25841874,-0.0064121494427432,0.0010916763466585,0.6586856851757514,False,other,
MIA2,-0.057230927,-0.0269868984155337,0.0009337832274089,0.9699439633214468,False,other,
MIA3,-0.1078527,-0.0131118742295829,0.0005457628972058,0.8288334182373918,False,other,
MIB2,0.07651837,0.0204414888906592,0.0007390577708234,0.0376974019358125,False,other,
MICALL1,-0.31207818,0.0130729740958412,0.0005914819113369,0.1214977075904228,False,other,
MIDN,0.2547123,-0.0146810912558237,0.0008064891838695,0.8599083036169128,False,other,
MIEF1,0.18856406,-0.0157260449864409,0.000670273397115,0.8723892002037698,False,other,
MIEN1,0.06805593,-0.0281351987076715,0.0007449198192486,0.9737646459500764,False,other,
MIER1,-0.071018495,0.012214589609088,0.00066379653961,0.1400916963830871,False,other,
MIER2,0.043376256,-0.0004219255213793,0.0009848439753694,0.4712175241976566,False,other,
MIER3,-0.12920213,-0.0149320849749877,0.0010187541529975,0.8627101375445746,False,other,
MIF4GD,-0.10301726,-0.00497608133247,0.0006918978089146,0.6171676006113093,False,other,
MIGA2,0.23503928,0.0003811915968804,0.0009839766692863,0.4416709118695873,False,other,
MINDY1,-0.26880306,-0.0317867295191602,0.000856117568819,0.9852266938359654,False,other,
MIOS,-0.34204614,0.0240112239837329,0.0009333999753407,0.0201222618441161,False,other,
MIPEP,-0.057390198,0.009397644842642,0.0005660205426182,0.1887417218543046,False,other,
MITD1,0.14197606,0.0186179624727792,0.0007933891891194,0.0517065715741212,False,other,
