gene,score,guide_signif,guide_all,n_downstream,n_cells_target,n_guides,single_guide,ontarget_signif,distal_offtarget,neighboring_KD,qc_pass,status,hub_flag,k562_concordance,specificity_flag,axis,condition,specificity_call,is_clean,clean_strict
MOB3A,-0.04121407,-0.0566636022992785,0.0651188861329915,1.0,271.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
TRIM28,-0.041198228,-0.0271588935548163,0.1385982595719438,32.0,376.0,1.0,True,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
RAC1,-0.041193034,0.8623805115130463,0.0955419392389034,6.0,610.0,2.0,False,True,False,False,False,novel,,0.4289,,polarization,Stim8hr,T-cell-specific(measured),True,True
ARL6,-0.041185748,1.0,0.0260368548852007,2.0,250.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
CHD2,-0.041181803,-1.0,0.0208486496952528,28.0,622.0,1.0,True,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
PHF13,-0.041112237,0.6779571935469044,0.0977062592732887,4.0,310.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
BRD10,-0.04110447,-0.0433880600994897,0.1245864453597804,57.0,304.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
SPECC1,-0.041089628,-0.9861535947538425,0.0452191447606183,2.0,655.0,1.0,True,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
STPG1,-0.041053835,1.0,0.0204008529183801,1.0,472.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
CACNA1A,-0.041051883,,0.0644114754173039,2.0,754.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
GALM,-0.041039683,,0.2058869283905919,0.0,861.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
C16orf87,-0.04099503,0.4069548732366661,0.0627802215389498,181.0,596.0,2.0,False,True,False,False,False,novel,,0.3398,,polarization,Stim8hr,T-cell-specific(measured),True,True
GSTCD,-0.04096531,0.5728525853742227,0.0473549525648789,132.0,669.0,2.0,False,True,False,True,False,authors-nominated,,,,polarization,Stim8hr,no-K562-data,True,False
CABLES2,-0.040921386,,,0.0,379.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
RASGRF2,-0.040919285,,,8.0,393.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
PWWP2A,-0.040898126,1.0,-0.0116685633440712,2.0,247.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
NUDCD3,-0.040880486,,,562.0,70.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
TM2D2,-0.040865064,0.5354915651464907,0.0225344592545438,12.0,389.0,2.0,False,True,False,True,False,novel,,0.1085,,polarization,Stim8hr,T-cell-specific(measured),True,True
CHUK,-0.04084449,0.0750393408174803,0.2013141686302986,34.0,145.0,2.0,False,True,False,False,False,novel,,0.3927,,polarization,Stim8hr,T-cell-specific(measured),True,True
CMKLR1,-0.040823013,,0.0839503340206232,2.0,441.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
RBMS1,-0.0407507,0.6754786455107742,0.0938820199372558,0.0,778.0,1.0,True,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
LRR1,-0.040700786,,,75.0,41.0,1.0,True,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
WNT10B,-0.04069427,0.937131598814516,0.065019225986335,4.0,628.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
CSF2RA,-0.04068866,,0.0690591150250433,0.0,766.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
PUM1,-0.040672284,0.9986077467457726,0.2280624067547336,226.0,566.0,2.0,False,True,False,False,True,novel,,0.4743,,polarization,Stim8hr,T-cell-specific(measured),True,True
KLRG1,-0.04061001,,0.0904028047684483,2.0,1459.0,1.0,True,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
DUSP10,-0.040602375,0.1291053244926553,0.1117802560831866,2.0,783.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
KIF16B,-0.0405898,0.1764163137394998,0.0638177218577919,400.0,469.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
RELB,-0.0405881,0.7863973913970459,0.0336078871532461,1.0,260.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
RAB5B,-0.040584337,0.0389959086692424,0.0447484361976013,2.0,451.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
ZNF775,-0.04057335,-0.5232481973350356,0.0497206689698491,17.0,198.0,1.0,True,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
TTC39B,-0.040569045,1.0,0.0141876763397897,1.0,840.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
ACAT2,-0.04054641,0.5824977935318366,0.1802602136821151,3.0,429.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
NPAS1,-0.040529836,-0.5756711532210069,0.0401485707183968,20.0,266.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
