gene,score,guide_signif,guide_all,n_downstream,n_cells_target,n_guides,single_guide,ontarget_signif,distal_offtarget,neighboring_KD,qc_pass,status,hub_flag,k562_concordance,specificity_flag,axis,condition,specificity_call,is_clean,clean_strict
HPS1,0.1012475,-0.607869267109058,-0.0401285764307924,302.0,2666.0,1.0,True,True,False,False,False,authors-nominated,,,,activation,Stim8hr,no-K562-data,True,False
TFAM,0.101255886,0.8826312496351341,0.1666951913151399,817.0,832.0,2.0,False,True,False,False,True,novel,,0.5382,cell-line-shared/generic,activation,Stim8hr,cell-line-shared/generic,False,False
POLDIP3,0.10126326,,,38.0,171.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
NDFIP1,0.10128899,0.1328252728738227,0.0223495124777368,3.0,737.0,2.0,False,True,False,False,False,novel,,0.3229,,activation,Stim8hr,T-cell-specific(measured),True,True
H2AC14,0.10133764,-1.0,0.0541559784583838,1.0,443.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
RELT,0.1014122,0.8395444289928826,0.1081412125719758,35.0,1404.0,2.0,False,True,False,False,True,novel,,0.3739,,activation,Stim8hr,T-cell-specific(measured),True,True
TP73,0.10145931,-0.2998877534010795,0.0891867287090154,109.0,216.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
LHX6,0.10148495,,0.0503529422393014,3.0,372.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
MRPS24,0.10149432,0.1655405192640739,0.1986024512886571,163.0,245.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
PCLAF,0.10151327,,0.1183219321394324,0.0,700.0,2.0,False,True,False,False,False,novel,,0.1267,,activation,Stim8hr,T-cell-specific(measured),True,True
SRGAP1,0.10151393,,0.0833846653232728,0.0,461.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
RNMT,0.101516314,,,172.0,30.0,1.0,True,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
RNF141,0.10151763,,0.0954538381023765,0.0,698.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
FIBP,0.10155748,0.7347218343473851,0.1579668997548671,65.0,991.0,2.0,False,True,False,True,False,novel,,0.33,,activation,Stim8hr,T-cell-specific(measured),True,True
RNF146,0.10156164,0.844718677975027,0.0958370502076988,6.0,762.0,2.0,False,True,False,False,False,novel,,0.1548,,activation,Stim8hr,T-cell-specific(measured),True,True
